Anúncio	Nome da despesa	Ano_mês_ref	Valor despesa	Reserva
Andorinhas	Internet Claro	2023/10	R$ 99,99
Andorinhas	Limpeza	2023/11	R$ 170,00	AJ16I
Andorinhas	Taxa ADM	2023/11	R$ 187,17	AJ16I
Andorinhas	Limpeza	2023/11	R$ 170,00	AR10I
Andorinhas	Taxa ADM	2023/11	R$ 55,42	AR10I
Andorinhas	Limpeza	2023/11	R$ 170,00	AW18I
Andorinhas	Taxa ADM	2023/11	R$ 62,57	AW18I
Andorinhas	Limpeza	2023/11	R$ 170,00	BA07I
Andorinhas	Taxa ADM	2023/11	R$ 117,28	BA07I
Andorinhas	IPTU	2023/11	R$ 227,18
Andorinhas	Condomínio	2023/11	R$ 671,18
Andorinhas	Energia elétrica	2023/11	R$ 86,35
Andorinhas	Internet Claro	2023/11	R$ 99,99
Andorinhas	Limpeza	2023/12	R$ 170,00	CJ13I
Andorinhas	Taxa ADM	2023/12	R$ 180,09	CJ13I
Andorinhas	Limpeza	2023/12	R$ 170,00	CO11I
Andorinhas	Taxa ADM	2023/12	R$ 746,88	CO11I
Andorinhas	IPTU	2023/12	R$ 227,18
Andorinhas	Condomínio	2023/12	R$ 671,18
Andorinhas	Energia elétrica	2023/12	R$ 101,44
Andorinhas	Internet Claro	2023/12	R$ 99,99
Andorinhas	Ar condicionado	2023/12	R$ 696,30
Andorinhas	Despesa extra	2024/01	R$ 80,00
Andorinhas	Limpeza	2024/01	R$ 170,00	CW09I
Andorinhas	Taxa ADM	2024/01	R$ 157,69	CW09I
Andorinhas	Limpeza	2024/01	R$ 170,00	CY04I
Andorinhas	Taxa ADM	2024/01	R$ 293,30	CY04I
Andorinhas	Limpeza	2024/01	R$ 170,00	DD12I
Andorinhas	Taxa ADM	2024/01	R$ 175,49	DD12I
Andorinhas	IPTU	2024/01	R$ 237,48
Andorinhas	Ar condicionado	2024/01	R$ 696,28
Andorinhas	Condomínio	2024/01	R$ 671,18
Andorinhas	Energia elétrica	2024/01	R$ 109,00
Andorinhas	Internet Claro	2024/01	R$ 109,44
Andorinhas	IPTU	2024/02	R$ 237,48
Andorinhas	Condomínio	2024/02	R$ 671,18
Andorinhas	Energia elétrica	2024/02	R$ 174,97
Andorinhas	Internet Claro	2024/02	R$ 109,44
Andorinhas	Ar condicionado	2024/02	R$ 696,28
Andorinhas	IPTU	2024/03	R$ 237,48
Andorinhas	Ar condicionado	2024/03	R$ 696,28
Andorinhas	Limpeza	2024/03	R$ 170,00	FA15I
Andorinhas	Taxa ADM	2024/03	R$ 53,39	FA15I
Andorinhas	Limpeza	2024/03	R$ 170,00	FI02I
Andorinhas	Taxa ADM	2024/03	R$ 55,54	FI02I
Andorinhas	Limpeza	2024/03	R$ 170,00	FO16I
Andorinhas	Taxa ADM	2024/03	R$ 58,71	FO16I
Andorinhas	Limpeza	2024/03	R$ 170,00	FT32I
Andorinhas	Taxa ADM	2024/03	R$ 114,52	FT32I
Andorinhas	Limpeza	2024/03	R$ 170,00	GA12I
Andorinhas	Taxa ADM	2024/03	R$ 171,21	GA12I
Andorinhas	Condomínio	2024/03	R$ 671,18
Andorinhas	Energia elétrica	2024/03	R$ 223,05
Andorinhas	Internet Claro	2024/03	R$ 109,44
Andorinhas	Despesa extra	2024/03	R$ 70,00
Andorinhas	Limpeza	2024/04	R$ 170,00	GK19I
Andorinhas	Taxa ADM	2024/04	R$ 52,88	GK19I
Andorinhas	IPTU	2024/04	R$ 237,48
Andorinhas	Ar condicionado	2024/04	R$ 696,28
Andorinhas	Condomínio	2024/04	R$ 671,18
Andorinhas	Energia elétrica	2024/04	R$ 0,00
Andorinhas	Internet Claro	2024/04	R$ 109,44
Andorinhas	Limpeza	2024/05	R$ 170,00	HL34I
Andorinhas	Taxa ADM	2024/05	R$ 76,75	HL34I
Andorinhas	Limpeza	2024/05	R$ 170,00	HS12I
Andorinhas	Taxa ADM	2024/05	R$ 47,27	HS12I
Andorinhas	Limpeza	2024/05	R$ 170,00	IM39I
Andorinhas	Taxa ADM	2024/05	R$ 83,84	IM39I
Andorinhas	IPTU	2024/05	R$ 237,48
Andorinhas	Ar condicionado	2024/05	R$ 696,28
Andorinhas	Condomínio	2024/05	R$ 671,18
Andorinhas	Energia elétrica	2024/05	R$ 375,55
Andorinhas	Internet Claro	2024/05	R$ 109,44
Andorinhas	IPTU	2024/06	R$ 237,48
Andorinhas	Condomínio	2024/06	R$ 671,18
Andorinhas	Ar condicionado	2024/06	R$ 696,28
Andorinhas	Energia elétrica	2024/06	R$ 108,59
Andorinhas	Internet Claro	2024/06	R$ 109,44
Andorinhas	Limpeza	2024/07	R$ 170,00	KS02I
